Electoral District Number/Numero de circonscription,Candidate/Candidat,Name,,Party,,
48001,Blake Richards ** Conservative/Conservateur,Blake,Richards,CON,Conservative/Conservateur,
48001,Sarah Zagoda NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Sarah,Zagoda,NDP,Democratic,
48001,David Gamble Liberal/Libéral,David,Gamble,LPC,,
48001,Nadine Wellwood People's Party - PPC/Parti populaire - PPC,Nadine,Wellwood,PPC,Party,
48001,Derek Sloan No Affiliation/Aucune appartenance,Derek,Sloan,IND,Affiliation/Aucune,
48001,Tariq Elnaga Maverick Party/Maverick Party,Tariq,Elnaga,IND,Party/Maverick,
48001,Aidan Blum Green Party/Parti Vert,Aidan,Blum,GRN,Party/Parti,
48001,Caroline O'Driscoll Independent/Indépendant(e),Caroline,O'Driscoll,IND,,
48001,Ron Voss Independent/Indépendant(e),Ron,Voss,IND,,
48002,Damien Kurek ** Conservative/Conservateur,Damien,Kurek,CON,Conservative/Conservateur,
48002,Tonya Ratushniak NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Tonya,Ratushniak,NDP,Democratic,
48002,Dennis Trepanier People's Party - PPC/Parti populaire - PPC,Dennis,Trepanier,PPC,Party,
48002,Leah Diane McLeod Liberal/Libéral,Leah,Diane McLeod,LPC,Liberal/Libéral,
48002,Jeff Golka Maverick Party/Maverick Party,Jeff,Golka,IND,Party/Maverick,
48002,Daniel Brisbin Green Party/Parti Vert,Daniel,Brisbin,GRN,Party/Parti,
48002,John Irwin VCP/CAC,John,Irwin,IND,,
48003,Martin Shields ** Conservative/Conservateur,Martin,Shields,CON,Conservative/Conservateur,
48003,Jonathan Bridges People's Party - PPC/Parti populaire - PPC,Jonathan,Bridges,PPC,Party,
48003,Michael MacLean NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Michael,MacLean,NDP,Democratic,
48003,Getu Shawile Liberal/Libéral,Getu,Shawile,LPC,,
48003,Orrin Bliss Maverick Party/Maverick Party,Orrin,Bliss,IND,Party/Maverick,
48003,Tom Lipp Christian Heritage Party/Parti de l'Héritage Chrétien,Tom,Lipp,IND,Heritage,
48004,Greg McLean ** Conservative/Conservateur,Greg,McLean,CON,Conservative/Conservateur,
48004,Sabrina Grover Liberal/Libéral,Sabrina,Grover,LPC,,
48004,Juan Estevez Moreno NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Juan,Estevez,NDP,NDP-New,
48004,Austin Mullins Green Party/Parti Vert,Austin,Mullins,GRN,Party/Parti,
48004,Dawid Pawlowski Christian Heritage Party/Parti de l'Héritage Chrétien,Dawid,Pawlowski,IND,Heritage,
48005,Len Webber ** Conservative/Conservateur,Len,Webber,CON,Conservative/Conservateur,
48005,Murray Sigler Liberal/Libéral,Murray,Sigler,LPC,,
48005,Gulshan Akter NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Gulshan,Akter,NDP,Democratic,
48005,Edward Gao People's Party - PPC/Parti populaire - PPC,Edward,Gao,PPC,Party,
48005,Natalie Odd Green Party/Parti Vert,Natalie,Odd,GRN,Party/Parti,
48005,Kevan Hunter Marxist-Leninist/Marxiste-Léniniste,Kevan,Hunter,IND,,
48006,Jasraj Singh Hallan ** Conservative/Conservateur,Jasraj,Singh,IND,**,
48006,Jordan Stein Liberal/Libéral,Jordan,Stein,LPC,,
